Employee Name,Employee ID,Gender,Age,Tenure,Role,Department,Starting Salary,Current Salary,Location,Contract,Years of Experience,Average Monthly Working Hours,Months in Role,Promotion History,Last Performance Review Score,Start Date,End Date,Turnover
Keith Anderson,2824,Male,24,1.1,Account Executive,Sales,55387,90615,Remote,Full-time,5,189,13,0,3,2023-12-28,,0
William Thompson,1409,Male,48,1.7,Marketing Specialist,Marketing,42144,87382,Office-Based,Full-time,21,150,1,1,5,2023-04-25,,0
Justin Cook,5506,Male,65,0.9,Marketing Specialist,Marketing,52439,60444,Office-Based,Full-time,4,131,4,1,5,2024-03-11,,0
Linda Wilson,5012,Male,25,1.0,Account Executive,Sales,94382,130702,Remote,Full-time,3,149,12,0,2,2024-01-21,,0
Scott Jacobs,4657,Male,60,6.6,Marketing Specialist,Marketing,92331,103766,Remote,Full-time,15,136,9,5,3,2011-12-07,2018-07-05,1
Ariel Spencer,3286,Male,59,6.0,Sales Manager,Sales,88609,116197,Office-Based,Full-time,23,180,14,1,4,2019-02-07,,0
Elizabeth Simon,2679,Female,54,11.0,Software Engineer,IT,42841,90501,Office-Based,Full-time,28,186,17,2,4,2014-01-07,,0
Elizabeth Ray,9935,Male,25,5.6,Marketing Manager,Marketing,86687,115756,Remote,Full-time,7,197,37,1,3,2019-06-05,,0
Stephanie Ruiz,2424,Male,39,8.8,Marketing Manager,Marketing,79150,113920,Remote,Full-time,17,175,14,3,3,2016-04-03,,0
Edward Dominguez PhD,7912,Male,63,7.1,Marketing Manager,Marketing,98201,113175,Office-Based,Full-time,21,171,1,4,4,2017-12-29,,0
Grace Jimenez,1520,Male,42,0.1,Engineering Manager,IT,71081,75480,Remote,Full-time,12,175,1,0,1,2024-12-16,,0
Allen Williams,1488,Female,30,2.6,Engineering Manager,IT,48010,74932,Office-Based,Full-time,11,174,30,1,5,2022-07-06,,0
Annette Chen,2535,Male,40,2.7,Sales Manager,Sales,83039,114639,Remote,Full-time,6,191,32,0,2,2022-05-19,,0
Samantha Hurst,4582,Female,58,2.3,Software Engineer,IT,83111,128558,Remote,Full-time,38,159,27,0,5,2012-02-16,2014-06-02,1
Alexis Walker,4811,Female,22,0.8,Sales Manager,Sales,88560,130055,Office-Based,Full-time,4,187,9,0,2,2023-02-19,2023-11-25,1
Janice Morris,9279,Female,51,5.8,Director,IT,77197,116271,Remote,Full-time,15,140,1,3,5,2019-04-08,,0
Terry Sanders,1434,Male,65,5.5,Software Engineer,IT,68969,96112,Remote,Full-time,33,134,20,4,4,2018-04-27,2023-10-14,1
Benjamin Rodriguez,4257,Male,40,2.9,Account Executive,Sales,54451,80354,Office-Based,Full-time,19,146,32,1,4,2022-02-23,,0
David Sanchez MD,9928,Male,30,5.2,Account Executive,Sales,72596,121552,Office-Based,Full-time,8,188,17,1,5,2019-11-04,,0
Andrea Wilson,7873,Female,26,7.1,Marketing Manager,Marketing,45102,65618,Office-Based,Full-time,8,173,24,1,4,2017-12-13,,0
John Gordon,4611,Female,23,3.8,Account Executive,Sales,68620,75557,Remote,Full-time,5,187,33,3,3,2021-03-26,,0
Dwayne Garcia,8359,Female,43,2.2,Software Engineer,IT,81499,88971,Office-Based,Full-time,8,164,27,0,2,2022-02-14,2024-05-13,1
Betty Gray,5557,Male,37,1.7,Software Engineer,IT,50018,99839,Office-Based,Full-time,8,200,20,0,3,2018-04-02,2019-12-16,1
Elizabeth West,1106,Female,65,11.9,Marketing Manager,Marketing,44475,75206,Office-Based,Full-time,32,155,29,2,5,2013-03-18,,0
Laura Cordova,3615,Female,54,7.3,Account Executive,Sales,64165,82978,Remote,Full-time,22,131,1,1,5,2014-06-04,2021-09-08,1
Scott Williams,7924,Female,51,6.1,Engineering Manager,IT,52336,73407,Office-Based,Full-time,21,127,7,5,4,2018-12-05,,0
Terry Davidson,6574,Female,27,7.4,Engineering Manager,IT,68688,97485,Office-Based,Full-time,8,166,37,2,4,2017-09-04,,0
Diana Torres,5552,Female,46,1.4,Director,IT,81345,123766,Office-Based,Full-time,23,191,17,0,3,2023-08-29,,0
Brittney Franklin,3547,Female,38,7.1,Marketing Specialist,Marketing,45341,83531,Office-Based,Part-time,17,159,5,2,5,2017-12-17,,0
Kelly Smith,4527,Female,30,0.9,Engineering Manager,IT,91882,113409,Office-Based,Full-time,5,187,8,1,3,2024-02-14,,0
Lisa Hill PhD,6514,Female,54,13.7,Sales Manager,Sales,62395,94263,Remote,Part-time,23,139,37,2,3,2011-05-18,,0
Jessica Gould,2674,Male,54,2.3,Engineering Manager,IT,62070,102573,Remote,Full-time,36,140,28,0,1,2022-10-01,,0
Teresa Lang,2519,Male,50,5.5,Marketing Manager,Marketing,80015,98688,Office-Based,Full-time,27,149,35,2,5,2013-03-07,2018-09-15,1
Garrett Harding,7224,Female,52,10.6,Marketing Manager,Marketing,70256,88722,Office-Based,Full-time,22,173,12,5,5,2014-06-04,,0
Ronald Rocha,2584,Male,60,14.0,Director,IT,64327,100669,Office-Based,Full-time,16,186,5,4,5,2010-05-01,2024-04-13,1
Mr. Kurt Cowan,6881,Female,27,1.9,Director,IT,68670,74680,Office-Based,Full-time,9,177,23,0,4,2023-02-16,,0
Chelsea Scott MD,6635,Male,48,3.0,Marketing Manager,Marketing,45348,69918,Remote,Full-time,15,132,36,0,4,2020-10-24,2023-10-10,1
Katherine Evans,5333,Female,31,3.1,Director,IT,86238,116981,Office-Based,Full-time,11,130,8,2,3,2019-07-30,2022-09-18,1
Joseph Martin,1711,Male,31,0.9,Account Executive,Sales,90867,109748,Remote,Full-time,9,150,9,1,4,2024-03-07,,0
Shane Craig,8527,Female,26,0.3,Engineering Manager,IT,49409,68497,Office-Based,Full-time,1,150,4,0,3,2024-04-02,2024-07-31,1
Brittney Peterson,9785,Male,64,4.4,Software Engineer,IT,75656,108904,Office-Based,Full-time,28,122,24,1,4,2020-09-12,,0
Keith Howard,3045,Female,24,2.3,Marketing Specialist,Marketing,91676,96103,Office-Based,Full-time,5,200,28,0,1,2022-10-02,,0
Todd James,7201,Female,30,5.9,Director,IT,91061,135932,Office-Based,Full-time,8,200,11,2,4,2017-09-19,2023-09-01,1
Eric Fletcher,2291,Male,26,0.8,Sales Manager,Sales,42870,55942,Office-Based,Full-time,1,159,8,1,5,2024-03-29,,0
Katherine Smith,5803,Female,38,1.2,Marketing Specialist,Marketing,96501,99633,Office-Based,Full-time,8,135,7,1,5,2021-09-25,2022-12-22,1
Brenda Macias,6925,Female,47,8.6,Marketing Manager,Marketing,85355,117960,Office-Based,Full-time,19,154,16,2,5,2016-07-03,,0
Angela Cohen,4150,Female,27,7.7,Account Executive,Sales,45247,66737,Office-Based,Full-time,9,197,20,3,5,2017-05-30,,0
Lindsey Jones,2139,Male,50,14.3,Marketing Manager,Marketing,57993,99901,Office-Based,Part-time,26,129,37,5,5,2010-10-22,,0
Stephanie Lamb,1750,Female,45,2.0,Account Executive,Sales,49357,89174,Office-Based,Full-time,24,136,24,0,1,2023-01-09,,0
Albert Floyd,4733,Female,45,2.6,Engineering Manager,IT,69486,93797,Office-Based,Full-time,22,193,32,0,1,2022-06-06,,0
Michael Hernandez,5741,Female,47,5.9,Account Executive,Sales,88213,100405,Office-Based,Full-time,13,191,37,1,3,2019-02-15,,0
David Wood,2307,Female,50,2.4,Sales Manager,Sales,48037,56932,Office-Based,Full-time,12,176,16,1,5,2021-02-08,2023-07-18,1
